idx,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45
E6,0.041264266900790166,0.03814064362336114,0.04744525547445255,0.0199501246882793,0.028683181225554105,0.02767175572519084,0.015804597701149427,0.01859504132231405,0.010688836104513063,0.037122969837587005,0.05591054313099041,0.019011406844106463,0.06043329532497149,0.03902439024390244,0.01245753114382786,0.0323846908734053,0.056797020484171325,0.0018484288354898336,0.046822742474916385,0.08251121076233184,0.027472527472527472,0.06523534269199009,0.026223776223776224,0.06710158434296365,0.0027397260273972603,0.05871559633027523,0.028290282902829027,0.05083260297984225,0.03858520900321544,0.010869565217391304,0.05225409836065574,0.013134851138353765,0.05269761606022585,0.05666316894018888,0.02194787379972565,0.070902394106814,0.05961754780652419,0.018338727076591153,0.1016260162601626,0.02373887240356083,0.07759699624530664,0.06418918918918919,0.07376362112321877,0.006345177664974619,0.03837953091684435,0.01020408163265306
F6,0.08877615726062144,0.06619937694704049,0.06681852695520121,0.056074766355140186,0.03867403314917127,0.06489071038251366,0.013321492007104795,0.0475177304964539,0.014820592823712949,0.05033809166040571,0.05583756345177665,0.013478818998716302,0.07824143070044709,0.12279293739967898,0.04119850187265917,0.09730722154222766,0.09734513274336283,0.016015374759769378,0.08633093525179857,0.1251596424010217,0.04779411764705882,0.1106434155141311,0.04668587896253602,0.15291878172588833,0.026365348399246705,0.1167192429022082,0.043509789702683106,0.107958050586058,0.0947119179163378,0.004635761589403974,0.10445580715850986,0.027120600115406807,0.09902475618904726,0.1299638989169675,0.04115586690017513,0.12721584984358708,0.11990776325903152,0.07036747458952307,0.1508485229415462,0.05736543909348442,0.11486486486486487,0.1184593023255814,0.13586358635863585,0.03538331929233361,0.10458452722063037,0.023995535714285716
G6,0.043,0.04578313253012048,0.048846675712347354,0.03485254691689008,0.01624815361890694,0.030107526881720432,0.012012012012012012,0.02442002442002442,0.013679890560875513,0.024600246002460024,0.025225225225225224,0.01466275659824047,0.037283621837549935,0.05337078651685393,0.025974025974025976,0.04261954261954262,0.07211028632025451,0.01116751269035533,0.033734939759036145,0.06441048034934498,0.019975031210986267,0.07801418439716312,0.015873015873015872,0.04973544973544974,0.01957585644371941,0.06209850107066381,0.0205761316872428,0.04988913525498891,0.04401650618982118,0.003188097768331562,0.06060606060606061,0.015682656826568265,0.05843293492695883,0.0535931790499391,0.018361581920903956,0.05635245901639344,0.058301647655259824,0.022332506203473945,0.07912087912087912,0.027502750275027504,0.06266666666666666,0.06451612903225806,0.08465116279069768,0.017467248908296942,0.05092592592592592,0.012727272727272728
H6,0.06013071895424837,0.034782608695652174,0.04456654456654457,0.024124066628374498,0.025136612021857924,0.02857142857142857,0.015696533682145193,0.033680039623576026,0.0077951002227171495,0.037111334002006016,0.029400079459674214,0.0129695885509839,0.036016949152542374,0.06186726659167604,0.02748414376321353,0.04702750665483585,0.06034105815478793,0.0034100596760443308,0.03746701846965699,0.06261343012704174,0.03129890453834116,0.06107205623901582,0.025502318392581144,0.07324698526127736,0.00616860863605209,0.05526688710439301,0.021203438395415473,0.053518334985133795,0.03699613473219216,0.010854816824966078,0.05102577590741715,0.012898024989923419,0.06465005931198102,0.06520605112154408,0.02122347066167291,0.05934065934065934,0.051568314726209465,0.0213903743315508,0.07323688969258589,0.021890547263681594,0.05572755417956656,0.06619504800404244,0.08606885508406725,0.018150879183210438,0.04878048780487805,0.012841091492776886
A7,0.10024301336573511,0.055596196049743966,0.06265060240963856,0.04885496183206107,0.04765687053216839,0.0491041804910418,0.015345268542199489,0.03686635944700461,0.011579818031430935,0.06083916083916084,0.04779411764705882,0.0175,0.08717579250720461,0.07427258805513016,0.03558460421205519,0.07803650094398994,0.12634238787113075,0.028720626631853787,0.07649896623018608,0.10927347903130538,0.053465346534653464,0.11622924477771826,0.04981050351922036,0.1255205234979179,0.021312872975277068,0.10331050228310502,0.03835021707670044,0.0889759373251259,0.07686781609195402,0.008368200836820083,0.1092896174863388,0.026969857218402962,0.09662576687116564,0.13976833976833977,0.04514480408858603,0.12764632627646327,0.10413694721825963,0.05653950953678474,0.1553398058252427,0.057285180572851806,0.12139156180606958,0.11258278145695365,0.14562063406770553,0.03150242326332795,0.08897742363877822,0.0193029490616622
B7,0.06170598911070781,0.032579787234042555,0.03062340503098797,0.022735101619014812,0.025686764181234393,0.028467764443204018,0.011923076923076923,0.02175830638047633,0.008191126279863481,0.028888888888888888,0.026828110161443496,0.007426449585832619,0.04368776100224864,0.04668222740913638,0.021798365122615803,0.03936348408710218,0.07746663177178749,0.012083780880773363,0.04305343511450382,0.06860158311345646,0.019787783194723258,0.06599342414279004,0.028654686741136474,0.05649717514124294,0.010830324909747292,0.05077430820005077,0.01335940045617465,0.04339201586908009,0.043256997455470736,0.0027412280701754384,0.047748564521003324,0.018867924528301886,0.056896551724137934,0.05845380263984915,0.016250495441934205,0.059291581108829566,0.05705996131528046,0.026759167492566897,0.08282036933407946,0.032675890491610245,0.05581230003554923,0.06720098643649815,0.08949136276391555,0.014466546112115732,0.04554626693571635,0.012987012987012988
C7,0.0829567462879277,0.0525,0.0508916920400174,0.03355442840421381,0.041684035014589414,0.04212781149589433,0.009438648782911079,0.027238805970149254,0.006501950585175552,0.034970238095238096,0.04894356779887671,0.012027491408934709,0.06833791208791208,0.05174701459531181,0.030738522954091817,0.060100692259282565,0.09263222256190767,0.012779552715654952,0.0612668743509865,0.11275415896487985,0.04684014869888476,0.10008410428931876,0.039238653001464126,0.08275634685130234,0.018455560951918408,0.08361306072627403,0.03923766816143498,0.06801007556675064,0.07512456880030663,0.012210394489668128,0.07406107406107407,0.024764150943396228,0.07624262847514743,0.0875643855776306,0.0341796875,0.07988067616837918,0.0750455373406193,0.04501607717041801,0.12982576016399044,0.04219993081978554,0.08972046889089269,0.09114680612626073,0.12186788154897495,0.023053501522401043,0.06021366137908708,0.024859425865640723
D7,0.10134398837631675,0.06942528735632184,0.0958354239839438,0.04619289340101523,0.05150631681243926,0.06365834004834811,0.018898488120950324,0.044813278008298756,0.01256281407035176,0.054453355846348674,0.06623586429725363,0.01528812230497844,0.09177903436276642,0.06190019193857965,0.05219913001449976,0.06642512077294686,0.10337401292175162,0.006006006006006006,0.0916030534351145,0.13600852272727273,0.08097518502394427,0.13639322916666666,0.04900662251655629,0.15767317259854574,0.019187358916478554,0.077066269545793,0.013364055299539171,0.04784172661870503,0.07733097657976137,0.005604483586869495,0.1012282930961457,0.03427214116050221,0.1134020618556701,0.13405047579644186,0.04030922142462728,0.14716569767441862,0.10763733809736489,0.05535224153705398,0.1897590361445783,0.06145022531749283,0.1206266318537859,0.1364232619151727,0.16495550992470911,0.03612565445026178,0.10303830911492734,0.03188207062050052
E7,0.08519269776876268,0.03757225433526012,0.05440158259149357,0.02636916835699797,0.014522821576763486,0.04882017900732303,0.006952491309385863,0.013061224489795919,0.006329113924050633,0.022847100175746926,0.019912881144990666,0.0044964028776978415,0.061061946902654866,0.013265306122448979,0.031876138433515486,0.02453531598513011,0.029953917050691243,0.0016051364365971107,0.05098684210526316,0.15717375630857966,0.1011326860841424,0.18414481897627966,0.018120805369127517,0.08106060606060606,0.004357298474945534,0.015337423312883436,0.00353045013239188,0.006997900629811057,0.011796733212341199,0.003961965134706815,0.06571187868576242,0.031146454605699137,0.06238003838771593,0.07553956834532374,0.014573991031390135,0.1504360465116279,0.0713678844519966,0.02,0.171875,0.028309741881765195,0.10748155953635406,0.12024756852343059,0.14769030579050096,0.016376663254861822,0.0981067125645439,0.005637773079633545
F7,0.10699588477366255,0.050102249488752554,0.06511627906976744,0.023728813559322035,0.03712035995500562,0.04355885078776645,0.011968085106382979,0.026706231454005934,0.007042253521126761,0.03286852589641434,0.038403614457831324,0.005042016806722689,0.08080808080808081,0.04265873015873016,0.01993704092339979,0.044563279857397504,0.053791887125220456,0.0025951557093425604,0.06340057636887608,0.165961049957663,0.06940371456500488,0.14735226400613968,0.03225806451612903,0.11650485436893204,0.009913258983890954,0.03559870550161812,0.0019880715705765406,0.01850362027353178,0.02821316614420063,0.004374453193350831,0.0649746192893401,0.01566951566951567,0.06974248927038626,0.09108527131782945,0.017814726840855107,0.11772950245269796,0.07736389684813753,0.0326530612244898,0.14795918367346939,0.042632066728452274,0.10192525481313704,0.11719500480307397,0.14047791455467054,0.02847380410022779,0.07072691552062868,0.011244377811094454
